Date,Open,High,Low,Close
6-February-2023,20942.94,20942.94,20504.08,20548.75,
7-February-2023,20232.03,20385.91,19975.28,20159.95,
8-February-2023,20118.46,20478.73,20109.37,20368.76,
9-February-2023,20381.22,20565.10,20244.70,20374.05,
10-February-2023,20324.90,20349.93,20006.47,20066.58,
13-February-2023,20024.53,20329.45,20012.77,20035.70,
14-February-2023,20088.13,20231.32,19994.62,20185.52,
15-February-2023,20159.80,20326.40,20104.21,20257.05,
16-February-2023,20327.69,20537.71,20327.69,20515.49,
17-February-2023,20440.34,20671.36,20391.60,20451.72,
20-February-2023,20474.23,20540.93,20328.81,20452.37,
21-February-2023,20497.62,20703.76,20352.60,20399.34,
22-February-2023,20330.10,20454.50,19969.21,20061.77,
23-February-2023,20046.74,20387.70,20046.74,20205.04,
24-February-2023,20346.05,20359.26,19691.96,19721.25,
27-February-2023,19692.88,19698.42,19215.12,19447.78,
28-February-2023,19434.08,19472.80,18962.95,18986.49,
1-March-2023,19016.87,19516.82,19016.87,19481.19,
2-March-2023,19487.21,19629.98,19414.69,19447.44,
3-March-2023,19573.56,19853.49,19527.08,19747.15,
6-March-2023,19762.28,19859.48,19617.66,19644.25,
8-March-2023,19499.21,19583.02,19266.97,19559.76,
9-March-2023,19646.47,19907.86,19646.47,19680.01,
10-March-2023,19491.10,19647.23,19337.37,19589.95,
13-March-2023,19579.91,19832.83,19319.45,19410.48,
14-March-2023,19452.52,19614.32,19273.18,19380.55,
